toi,toipfx,tfopwg_disp,pl_orbper,pl_rade,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
1077.01,1077,PC,1.6062693,12.6436029,844.2700581,13.461,463.683,5192.0,4.4617,0.984326
1078.01,1078,CP,0.5182425,1.3485121,255.1405815,10.1165,20.373,3325.0,4.88693,0.390989
1079.01,1079,PC,3.1644075,14.8814743,2206.1550476,13.1284,1179.27,6519.0,4.22068,1.7234
108.01,108,KP,3.0440541,12.1086799,315.9871326,13.163,421.855,5523.0,4.52192,0.809868
1080.01,1080,PC,3.9652485,1.2305102,5.2829448,12.7067,25.559,3296.0,4.96636,0.199988
1081.01,1081,PC,2.98278,11.467011,,11.5247,354.05,6027.0,4.29978,1.23975
1082.01,1082,PC,16.3469053,3.5059571,8.9995944,11.8835,100.248,4310.0,4.57345,0.649613
1083.01,1083,PC,12.9802953,2.4241912,4.7341229,12.0936,68.9109,3614.0,4.81257,0.491323
1084.01,1084,KP,1.3484961,15.8824638,2706.9606225,12.2851,494.182,6346.0,4.38484,1.14759
1085.01,1085,APC,3.2541181,14.9476,1436.45,11.6577,444.066,6102.0,4.28649,1.28
1086.01,1086,PC,3.7178828,14.6986197,1925.1426172,12.2303,736.397,5818.0,4.33787,2.0840001
1087.01,1087,FP,9.30992,14.2968,215.208,9.4142,416.25,6907.0,3.63,3.09
1088.01,1088,FA,1.15395,5.48364,3534.3,10.4613,240.901,6093.0,4.2,1.4
1089.01,1089,FP,4.73703,25.7144,53821.0,10.3918,778.127,11600.0,4.13,2.48
109.01,109,KP,2.76676,12.2867389,505.8840075,13.2366,513.011,5346.0,4.48823,0.984866
1090.01,1090,FP,2.19296,22.7769,31883.5,10.0196,566.502,7009.8,3.6,2.95
1091.01,1091,PC,1.725841,15.0024,50469.2,9.3529,321.671,7348.0,3.9,2.39
1092.01,1092,FP,1.1923,30.666,40771.2,9.0039,209.919,6534.0,3.95,2.04
1093.01,1093,FP,11.47606,,,10.0067,1710.22,,,
1094.01,1094,APC,0.5971314,9.08382,1596.43,9.9806,426.003,7710.0,3.98,2.28
1095.01,1095,PC,1.4821386,13.7339261,18197.1354531,10.4291,582.521,7066.0,3.78,2.6647301
1096.01,1096,FP,0.9209526,5.7349089,32740.3629399,10.11,490.288,6553.0,3.65,2.8908899
1097.01,1097,CP,9.188506,2.16591,63.4589,8.7215,79.5561,5876.0,4.48,0.98
1097.02,1097,CP,13.9028391,2.6136848,77.4841883,8.7215,79.5561,5876.0,4.48,0.983215
1098.01,1098,CP,10.1826983,3.0538057,198.394783,8.7581,105.096,6153.0,4.34814,1.14582
1099.01,1099,CP,6.441006,2.56374,87.8902,7.3661,23.606,4867.0,4.438,0.8
110.01,110,KP,3.1743504,14.9172256,718.9096994,11.6714,342.14,5943.0,4.42524,1.15706
1100.01,1100,FP,20.0731588,4.0506906,69.3993155,10.5135,205.43,6033.0,4.37,1.14849
1101.01,1101,FP,2.66903,9.36823,429.86,10.5891,262.794,5803.5,4.07,1.56
1102.01,1102,FP,6.63371,2.75375,22.9987,10.5652,58.0624,4138.1,4.54,0.63
1103.01,1103,PC,2.94308,45.3525,2533.34,10.5598,320.212,4437.0,,3.13
1104.01,1104,PC,341.2811281,4.7531892,121.1597998,7.5622,70.0154,6058.6,4.2,1.39203
1105.01,1105,CP,10.8680523,2.90726,20.7383,10.2809,79.5225,4664.0,4.55,0.76
1106.01,1106,PC,11.1149,14.7645,21.9713,10.0717,523.425,5042.0,,4.94
1107.01,1107,CP,4.0782392,13.898174,1619.0081232,10.0068,281.314,6501.0,4.08,1.74836
1108.01,1108,FP,7.14386,22.1531,,9.941,417.08,7860.0,4.15,1.91
1109.01,1109,FP,7.04083,8.46404,852.336,9.7906,102.238,5317.0,4.49,0.91
111.01,111,KP,2.1061569,13.086872,691.8428073,13.183,508.842,5380.0,4.4337,0.940697
1110.01,1110,FP,2.4545635,11.1276,2162.73,9.6789,243.838,6610.0,4.15,1.64
1111.01,1111,FP,11.4756978,14.1098,11.4585,9.3871,312.461,7262.0,4.0,2.13
1112.01,1112,FP,2.78186,4.92567,1323.21,9.5162,292.085,6819.0,3.92,2.21
1113.01,1113,FP,6.4410082,4.59203,8.2114,9.66865,23.8853,3469.0,4.71,0.53
1114.01,1114,APC,2.4887726,,773.3029498,8.1129,174.475,8048.0,4.438,
1115.01,1115,APC,4.45199,15.8858,1013.74,10.526,359.215,6708.3,4.2,1.57
1116.01,1116,PC,5.0100708,2.3107394,210.6631712,9.5268,94.4178,5551.0,4.46214,0.906282
1117.01,1117,PC,2.2281625,2.56778,702.927,10.4055,167.598,5731.0,4.43,1.02
1118.01,1118,FP,4.13812,,613.964,10.5084,,4898.4,,
1119.01,1119,APC,10.95663,23.9726,619.065,10.5024,421.518,6456.0,3.92,2.07
112.01,112,KP,2.4997996,13.8516093,907.8624196,11.6035,302.448,5650.0,4.28867,1.13732
1120.01,1120,FP,1.66226,13.3343,7149.89,10.4063,386.323,7301.0,4.23,1.64
1121.01,1121,FP,4.07611,,,11.0605,338.644,,,
1122.01,1122,FP,3.6245513,4.3503,919.571,10.2934,249.826,6317.0,,1.38
1123.01,1123,APC,1.20928,15.1764,,10.2398,161.932,5159.8,4.23,1.27
1124.01,1124,APC,3.5187707,14.0061,2000.01,7.2235,75.7145,6690.0,4.24,1.49
1125.01,1125,PC,0.7724825,4.1624907,60276.5000547,8.0465,237.593,8271.0,3.95,2.5027299
1126.01,1126,FP,1.6268695,2.36498,1946.23,10.3579,97.8115,5034.0,4.64,0.73
1127.01,1127,FP,2.32439,,68217.5,7.3163,177.741,8268.5,3.93,
1128.01,1128,FP,13.5499,6.24633,31.6652,9.7298,222.529,6209.0,4.09,1.63
1129.01,1129,FP,4.43651,19.9664,8233.41,8.7823,247.414,7101.9,3.91,2.32
113.01,113,KP,3.372877,14.201803,615.165921,12.1893,448.637,6050.0,4.45061,1.02
1130.01,1130,CP,8.34998,11.1424,19.9348,10.1429,58.2609,4236.0,4.52,0.74
1130.02,1130,CP,4.0686405,3.7548333,84.108766,10.1429,58.2609,4236.0,4.52,0.741921
1131.01,1131,PC,0.5860366,4.906408,26813.1057089,9.2872,222.74,5579.0,3.67,2.39803
1132.01,1132,FP,1.5502952,3.34528,10796.6,9.2293,286.668,7851.0,4.17,1.86
1133.01,1133,FP,1.80709,4.86242,7233.01,9.11458,233.369,6244.0,3.84,2.2
1134.01,1134,FP,18.6922101,18.1458,282.175,9.03609,170.732,6277.0,4.09,1.65
1135.01,1135,CP,8.0277331,9.08479,256.544,9.02855,114.048,5962.7,4.38,1.15
1136.01,1136,CP,12.5187279,5.58857,626.362,8.9361,84.5362,5729.0,4.47,0.98
1136.02,1136,CP,6.2586065,2.51593,232.392,8.9361,84.5362,5729.0,4.47,0.98
1136.03,1136,CP,26.3208756,2.71349,26.4328,8.9361,84.5362,5729.0,4.47,0.98
1136.04,1136,CP,18.795547,2.1597669,48.477077,8.9361,84.5362,5729.0,4.47,0.977727
1137.01,1137,PC,1.3206356,34.7561624,3652.2582486,9.00558,419.435,4919.6,,6.3070302
1138.01,1138,FP,0.64971,6.23181,83182.0,8.90601,395.12,9994.0,4.02,2.59
1139.01,1139,PC,4.4780798,11.3678,31621.7,8.86193,238.726,7947.0,4.2,1.83
114.01,114,KP,3.2887898,10.5135877,759.3373533,10.6103,216.526,5800.0,4.28004,1.24175
1140.01,1140,FP,13.7431134,12.2235,84.3134,8.88797,121.182,5941.5,,1.34
1141.01,1141,FP,16.9487087,45.2204505,78.263287,8.8523,97.3391,5894.7,4.37,1.1179
1142.01,1142,FP,3.3686634,42.2321,9856.24,8.64028,299.294,7518.0,3.82,2.68
1143.01,1143,FP,11.2071839,17.4989,813.063,8.63287,191.984,6152.0,3.84,2.24
1144.01,1144,KP,4.8878037,5.29152,71.6805,8.5077,37.7647,4757.3,4.56,0.76
1145.01,1145,FP,2.97164,,3089.18,8.5011,438.395,8562.5,,
1146.01,1146,FP,0.660179,6.1672487,252487.7638842,8.40386,411.307,8598.7,4.1,2.62432
1147.01,1147,FP,10.9278415,49.1695,270.142,8.36544,218.258,6259.0,3.59,2.92
1148.01,1148,KP,5.5514888,15.8043,802.858,7.9179,96.5173,6403.9,4.16,1.55
1149.01,1149,APC,2.3202418,,22262.0513573,7.9172,632.553,8737.5,,
115.01,115,KP,4.7423709,10.5505922,209.7699043,13.0417,453.808,5377.0,4.42476,0.877585
1150.01,1150,KP,1.4810903,20.3402421,33326.7304874,7.58204,204.455,9435.0,4.11,2.28773
1151.01,1151,KP,3.4741012,21.2912,3453.07,7.55216,136.426,8894.8,4.38,1.62
1152.01,1152,FA,6.5011911,,214.9638584,8.0348,105.334,5485.0,,
1153.01,1153,APC,6.0360758,9.86763,464.097,8.40534,147.134,6528.3,4.21,1.69
1154.01,1154,PC,21.745537,2.10208,28.2504,9.3188,93.8819,5704.0,4.51,0.93
1155.01,1155,FP,1.32003,,,9.711,,,,
1156.01,1156,FP,1.6865822,,,9.7032,6079.49,,,
1157.01,1157,FP,13.0727479,35.7944,221.343,9.6043,432.113,5709.8,3.37,3.59
1158.01,1158,FP,2.9258727,24.4055,3028.51,9.5967,,4884.5,,1.3
1159.01,1159,FP,0.73774,5.28215,,9.5937,292.83,6449.5,3.94,2.1
116.01,116,KP,2.7985802,11.9514993,332.556249,11.0443,149.942,4920.0,4.49371,0.906655
1160.01,1160,FP,2.3664127,,,9.577,2320.13,,,
1161.01,1161,KP,1.7635881,,7685.79,10.2306,519.096,7986.1,,
1162.01,1162,PC,7.3166682,,1221.82,9.65306,348.481,8730.0,,
1163.01,1163,PC,3.0771612,,2636.8654415,9.47751,148.342,9311.3,,
1164.01,1164,FP,3.2077145,,,9.329701,827.868,,,
1165.01,1165,KP,2.2552845,14.688,549.715,9.76703,126.261,5787.0,4.5,0.96
1166.01,1166,FP,1.8824539,8.29008,15173.2,9.7604,153.743,5900.4,4.39,1.13
1167.01,1167,FP,15.196,4.96345,,10.3874,209.618,5807.0,,1.14
1168.01,1168,FP,2.1358631,23.6019,1540.95,10.381,274.162,5969.0,4.17,1.5
1169.01,1169,PC,6.7075429,17.4647,225.822,10.6405,259.0,6134.3,,1.24
117.01,117,KP,3.5862962,16.4747611,1787.5955937,11.7806,603.955,5704.8,3.84,2.00441
1170.01,1170,FP,0.91397,10.9073,12286.1,10.349,880.107,7875.0,3.61,3.34
1171.01,1171,FP,11.1876137,31.8624,838.609,10.3075,482.763,7266.0,4.06,2.05
1172.01,1172,FP,7.8513734,,,10.3018,875.061,,,
1173.01,1173,CP,7.0643978,9.39131,104.311,10.2938,132.353,5429.6,4.44,0.96
1174.01,1174,PC,8.9534775,2.35888,45.5604,10.2549,94.6375,5029.5,4.61,0.76
1175.01,1175,FP,7.5022708,5.55812,129.866,10.2026,216.517,6229.0,4.31,1.27
1176.01,1176,PC,14.0077738,12.764,200.505,10.1772,295.561,6557.7,4.18,1.57
1177.01,1177,FP,1.692892,11.2371,187927.0,10.1617,602.899,9121.5,4.21,2.1
1178.01,1178,FP,2.6652139,2.32848,2660.44,10.1358,36.7224,4043.4,4.69,0.56
1179.01,1179,APC,1.2615323,8.67407,1437.18,10.1313,86.444,4927.9,4.57,0.78
118.01,118,CP,6.0344667,4.44029,64.2648,9.179,94.1719,5586.0,4.36763,1.05
